,8:30-9:50,10:00-11:20,11:30-12:50,1:00-2:20,2:30-3:50,4:00-5:20
D-101,Operating Systems Lab - A (Ma'am Sidra),Operating Systems Lab - A (Ma'am Sidra),Database Systems - C (Sir Aadil),Data Structures - A (Dr. Labiba),Algorithms - B (Sir Aadil),Database Systems - A (Sir Aadil)
D-102,Database Systems Lab - B (Dr. Mehreen),Database Systems Lab - B (Dr. Mehreen),Operating Systems Lab - C (Dr. Mehreen),Operating Systems Lab - C (Dr. Mehreen),Software Engineering - C (Sir Usman),Data Structures - D (Dr. Mehreen)
